ip,details
"1.241.229.116","Mega Threat"
"1.93.16.185","Mega Threat"
"1.93.20.214","Mega Threat"
"100.0.80.10","Mega Threat"
"100.38.70.130","Mega Threat"
"101.109.80.131","Mega Threat"
"101.254.16.63","Mega Threat"
"101.51.125.94","Mega Threat"
"101.78.187.138","Mega Threat"
"103.224.165.232","Mega Threat"
"103.224.250.30","Mega Threat"
"103.24.244.67","Mega Threat"
"103.25.130.105","Mega Threat"
"103.26.18.88","Mega Threat"
"103.27.237.117","Mega Threat"
"103.27.237.170","Mega Threat"
"103.31.190.238","Mega Threat"
"103.31.191.219","Mega Threat"
"104.130.204.141","Mega Threat"
"104.130.29.243","Mega Threat"
"104.148.71.72","Mega Threat"
"104.149.197.97","Mega Threat"
"104.149.88.201","Mega Threat"
"104.149.88.216","Mega Threat"
"104.153.45.98","Other Mega Threat"
"104.154.34.10","Mega Threat"
"104.154.59.79","Mega Threat"
"104.155.16.17","Mega Threat"
"104.174.123.66","Mega Threat"
"104.197.45.61","Mega Threat"
"104.203.67.254","Mega Threat"
"104.216.9.179","Mega Threat"
"104.219.251.107","Mega Threat"
"104.238.177.170","Mega Threat"
"104.239.169.98","Mega Threat"
"104.24.100.59","Other Mega Threat"
"104.245.239.108","Mega Threat"
"104.245.97.224","Mega Threat"
"104.247.221.187","Mega Threat"
"104.255.67.140","Mega Threat"
"104.255.67.233","Mega Threat"
"104.255.68.180","Mega Threat"
"104.27.134.192","Other Mega Threat"
"104.27.135.192","Other Mega Threat"
"104.27.154.1","Other Mega Threat"
"104.27.155.1","Other Mega Threat"
"104.31.65.18","Other Mega Threat"
"104.31.73.95","Other Mega Threat"
"104.31.82.207","Other Mega Threat"
"104.43.170.84","Mega Threat"
"104.46.44.40","Mega Threat"
"106.186.113.132","Mega Threat"
"107.151.241.76","Mega Threat"
"107.160.20.146","Mega Threat"
"107.160.36.143","Mega Threat"
"107.160.36.152","Mega Threat"
"107.160.75.132","Mega Threat"
"107.160.75.144","Mega Threat"
"107.160.75.153","Mega Threat"
"107.161.199.59","Mega Threat"
"107.183.141.131","Mega Threat"
"107.191.60.130","Mega Threat"
"108.167.180.62","Other Mega Threat"
"108.167.188.188","Other Mega Threat"
"108.167.189.18","Mega Threat"
"108.229.17.6","Mega Threat"
"108.59.9.202","Mega Threat"
"108.61.122.121","Mega Threat"
"109.194.222.234","Mega Threat"
"109.200.30.47","Mega Threat"
"109.202.103.20","Mega Threat"
